id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,,,,,l,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: nekilnojamojo turto operacijos",
,,,,,shape_leng,number,,,,2,open,,,
,,,,,b_c_d_e,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: apdirbamoji gamyba, kasyba ir karjerų eksploatavimas bei kita pramonė",
,,,,,imoniu_sk,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius",
,,,,,grid_id,string,,,,2,open,,"Gardelės identifikavimo kodas",
,,,,,r_s_t_u,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: kitos paslaugos",
,,,,,o_p_q,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: viešasis valdymas ir gynyba, švietimas, žmonių sveikatos priežiūra ir socialinis darbas",
,,,,,shape_length,number,,,,2,open,,"gardelės ilgis",
,,,,,m_n,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: profesinė, mokslinė ir techninė veikla, administracinė ir aptarnavimo veikla",
,,,,,dsk,string,,,,2,open,,"Darbuotojų skaičius",
,,,,,objectid,integer,,,,2,open,,"Objekto įdentifikacinis numeris",
,,,,,shape_area,number,,,,2,open,,"gardelės plotas",
,,,,,,,,,,,,,,
,,,,UkioSub1Km2018,,,,ukio_sub_1km_2018,,,,,"Ūkio subjektų geoerdviniai duomenys 2015-2018 m. 1x1km gardelėse.",
,,,,,a,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: žemės ūkis, miškininkystė ir žuvininkystė",
,,,,,g_h_i,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: didmeninė ir mažmeninė prekyba, transportas ir saugojimas, apgyvendinimo ir maitinimo paslaugų veikla",
,,,,,f,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: statyba",
,,,,,j,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: informacija ir ryšiai",
,,,,,pajamos,string,,,,2,open,,"Veikiančių ūkio subjektų pajamos",
,,,,,metai,integer,,,,2,open,,"Laikotarpis, kuriam priklauso statistinė reikšmė",
,,,,,k,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: finansinė ir draudimo veikla",
,,,,,l,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: nekilnojamojo turto operacijos",
,,,,,shape_leng,number,,,,2,open,,,
,,,,,b_c_d_e,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: apdirbamoji gamyba, kasyba ir karjerų eksploatavimas bei kita pramonė",
,,,,,imoniu_sk,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius",
,,,,,grid_id,string,,,,2,open,,"Gardelės identifikavimo kodas",
,,,,,r_s_t_u,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: kitos paslaugos",
,,,,,o_p_q,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: viešasis valdymas ir gynyba, švietimas, žmonių sveikatos priežiūra ir socialinis darbas",
,,,,,shape_length,number,,,,2,open,,"gardelės ilgis",
,,,,,m_n,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: profesinė, mokslinė ir techninė veikla, administracinė ir aptarnavimo veikla",
,,,,,dsk,string,,,,2,open,,"Darbuotojų skaičius",
,,,,,objectid,integer,,,,2,open,,"Objekto įdentifikacinis numeris",
,,,,,shape_area,number,,,,2,open,,"gardelės plotas",
,,,,,,,,,,,,,,
,,,,UkioSub5Km2018,,,,ukio_sub_5km_2018,,,,,"Ūkio subjektų geoerdviniai duomenys 2015-2018 m. 5x5km gardelėse.",
,,,,,a,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: žemės ūkis, miškininkystė ir žuvininkystė",
,,,,,g_h_i,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: didmeninė ir mažmeninė prekyba, transportas ir saugojimas, apgyvendinimo ir maitinimo paslaugų veikla",
,,,,,f,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: statyba",
,,,,,j,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: informacija ir ryšiai",
,,,,,pajamos,string,,,,2,open,,"Veikiančių ūkio subjektų pajamos",
,,,,,metai,integer,,,,2,open,,"Laikotarpis, kuriam priklauso statistinė reikšmė",
,,,,,k,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: finansinė ir draudimo veikla",
,,,,,l,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: nekilnojamojo turto operacijos",
,,,,,shape_leng,integer,,,,2,open,,"gardelės ilgis",
,,,,,b_c_d_e,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: apdirbamoji gamyba, kasyba ir karjerų eksploatavimas bei kita pramonė",
,,,,,imoniu_sk,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius",
,,,,,grid_id,string,,,,2,open,,"Gardelės identifikavimo kodas",
,,,,,r_s_t_u,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: kitos paslaugos",
,,,,,o_p_q,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: viešasis valdymas ir gynyba, švietimas, žmonių sveikatos priežiūra ir socialinis darbas",
,,,,,shape_length,number,,,,2,open,,"gardelės ilgis",
,,,,,m_n,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: profesinė, mokslinė ir techninė veikla, administracinė ir aptarnavimo veikla",
,,,,,dsk,string,,,,2,open,,"Darbuotojų skaičius",
,,,,,objectid,integer,,,,2,open,,"Objekto įdentifikacinis numeris",
,,,,,shape_area,number,,,,2,open,,"gardelės plotas",
,,,,,,,,,,,,,,
,,,,UkioSub100M2019,,,,ukio_sub_100m_2019,,,,,"Ūkio subjektų geoerdviniai duomenys 2019 m. 100x100km gardelėse.",
,,,,,fid,integer,,,,2,open,,"įdentifikacinis numeris",
,,,,,a,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: žemės ūkis, miškininkystė ir žuvininkystė",
,,,,,g_h_i,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: didmeninė ir mažmeninė prekyba, transportas ir saugojimas, apgyvendinimo ir maitinimo paslaugų veikla",
,,,,,f,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: statyba",
,,,,,j,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: informacija ir ryšiai",
,,,,,pajamos,string,,,,2,open,,"Veikiančių ūkio subjektų pajamos",
,,,,,metai,integer,,,,2,open,,"Laikotarpis, kuriam priklauso statistinė reikšmė",
,,,,,k,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: finansinė ir draudimo veikla",
,,,,,l,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: nekilnojamojo turto operacijos",
,,,,,b_c_d_e,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: apdirbamoji gamyba, kasyba ir karjerų eksploatavimas bei kita pramonė",
,,,,,imoniu_sk,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius",
,,,,,grid_id_,string,,,,2,open,,"Gardelės identifikavimo kodas",
,,,,,r_s_t_u,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: kitos paslaugos",
,,,,,o_p_q,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: viešasis valdymas ir gynyba, švietimas, žmonių sveikatos priežiūra ir socialinis darbas",
,,,,,shape_length,number,,,,2,open,,"gardelės ilgis",
,,,,,dsk,integer,,,,2,open,,"Darbuotojų skaičius",
,,,,,m_n,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: profesinė, mokslinė ir techninė veikla, administracinė ir aptarnavimo veikla",
,,,,,shape_area,number,,,,2,open,,"gardelės plotas",
,,,,,,,,,,,,,,
,,,,UkioSub250M2019,,,,ukio_sub_250m_2019,,,,,"Ūkio subjektų geoerdviniai duomenys 2019 m. 250x250km gardelėse.",
,,,,,fid,integer,,,,2,open,,"įdentifikacinis numeris",
,,,,,a,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: žemės ūkis, miškininkystė ir žuvininkystė",
,,,,,g_h_i,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: didmeninė ir mažmeninė prekyba, transportas ir saugojimas, apgyvendinimo ir maitinimo paslaugų veikla",
,,,,,f,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: statyba",
,,,,,j,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: informacija ir ryšiai",
,,,,,pajamos,string,,,,2,open,,"Veikiančių ūkio subjektų pajamos",
,,,,,metai,integer,,,,2,open,,"Laikotarpis, kuriam priklauso statistinė reikšmė",
,,,,,k,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: finansinė ir draudimo veikla",
,,,,,l,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: nekilnojamojo turto operacijos",
,,,,,b_c_d_e,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: apdirbamoji gamyba, kasyba ir karjerų eksploatavimas bei kita pramonė",
,,,,,imoniu_sk,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius",
,,,,,grid_id_,string,,,,2,open,,"Gardelės identifikavimo kodas",
,,,,,r_s_t_u,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: kitos paslaugos",
,,,,,o_p_q,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: viešasis valdymas ir gynyba, švietimas, žmonių sveikatos priežiūra ir socialinis darbas",
,,,,,shape_length,number,,,,2,open,,"gardelės ilgis",
,,,,,dsk,integer,,,,2,open,,"Darbuotojų skaičius",
,,,,,m_n,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: profesinė, mokslinė ir techninė veikla, administracinė ir aptarnavimo veikla",
,,,,,shape_area,number,,,,2,open,,"gardelės plotas",
,,,,,,,,,,,,,,
,,,,UkioSub500M2019,,,,ukio_sub_500m_2019,,,,,"Ūkio subjektų geoerdviniai duomenys 2019 m. 500x500km gardelėse.",
,,,,,fid,integer,,,,2,open,,"įdentifikacinis numeris",
,,,,,a,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: žemės ūkis, miškininkystė ir žuvininkystė",
,,,,,g_h_i,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: didmeninė ir mažmeninė prekyba, transportas ir saugojimas, apgyvendinimo ir maitinimo paslaugų veikla",
,,,,,f,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: statyba",
,,,,,j,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: informacija ir ryšiai",
,,,,,pajamos,string,,,,2,open,,"Veikiančių ūkio subjektų pajamos",
,,,,,metai,integer,,,,2,open,,"Laikotarpis, kuriam priklauso statistinė reikšmė",
,,,,,k,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: finansinė ir draudimo veikla",
,,,,,l,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: nekilnojamojo turto operacijos",
,,,,,b_c_d_e,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: apdirbamoji gamyba, kasyba ir karjerų eksploatavimas bei kita pramonė",
,,,,,imoniu_sk,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius",
,,,,,grid_id_,string,,,,2,open,,"Gardelės identifikavimo kodas",
,,,,,r_s_t_u,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: kitos paslaugos",
,,,,,o_p_q,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: viešasis valdymas ir gynyba, švietimas, žmonių sveikatos priežiūra ir socialinis darbas",
,,,,,shape_length,number,,,,2,open,,"gardelės ilgis",
,,,,,dsk,integer,,,,2,open,,"Darbuotojų skaičius",
,,,,,m_n,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: profesinė, mokslinė ir techninė veikla, administracinė ir aptarnavimo veikla",
,,,,,shape_area,number,,,,2,open,,"gardelės plotas",
,,,,,,,,,,,,,,
,,,,UkioSub1kM2019,,,,ukio_sub_1km_2019,,,,,"Ūkio subjektų geoerdviniai duomenys 2019 m. 1x1km gardelėse.",
,,,,,fid,integer,,,,2,open,,"įdentifikacinis numeris",
,,,,,a,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: žemės ūkis, miškininkystė ir žuvininkystė",
,,,,,g_h_i,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: didmeninė ir mažmeninė prekyba, transportas ir saugojimas, apgyvendinimo ir maitinimo paslaugų veikla",
,,,,,f,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: statyba",
,,,,,j,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: informacija ir ryšiai",
,,,,,pajamos,string,,,,2,open,,"Veikiančių ūkio subjektų pajamos",
,,,,,metai,integer,,,,2,open,,"Laikotarpis, kuriam priklauso statistinė reikšmė",
,,,,,k,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: finansinė ir draudimo veikla",
,,,,,l,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: nekilnojamojo turto operacijos",
,,,,,b_c_d_e,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: apdirbamoji gamyba, kasyba ir karjerų eksploatavimas bei kita pramonė",
,,,,,imoniu_sk,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius",
,,,,,grid_id_,string,,,,2,open,,"Gardelės identifikavimo kodas",
,,,,,r_s_t_u,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: kitos paslaugos",
,,,,,o_p_q,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: viešasis valdymas ir gynyba, švietimas, žmonių sveikatos priežiūra ir socialinis darbas",
,,,,,shape_length,number,,,,2,open,,"gardelės ilgis",
,,,,,dsk,integer,,,,2,open,,"Darbuotojų skaičius",
,,,,,m_n,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: profesinė, mokslinė ir techninė veikla, administracinė ir aptarnavimo veikla",
,,,,,shape_area,number,,,,2,open,,"gardelės plotas",
,,,,,,,,,,,,,,
,,,,UkioSub2500M2019,,,,ukio_sub_2500m_2019,,,,,"Ūkio subjektų geoerdviniai duomenys 2019 m. 2.5x2.5km gardelėse.",
,,,,,fid,integer,,,,2,open,,"įdentifikacinis numeris",
,,,,,a,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: žemės ūkis, miškininkystė ir žuvininkystė",
,,,,,g_h_i,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: didmeninė ir mažmeninė prekyba, transportas ir saugojimas, apgyvendinimo ir maitinimo paslaugų veikla",
,,,,,f,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: statyba",
,,,,,j,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: informacija ir ryšiai",
,,,,,pajamos,string,,,,2,open,,"Veikiančių ūkio subjektų pajamos",
,,,,,metai,integer,,,,2,open,,"Laikotarpis, kuriam priklauso statistinė reikšmė",
,,,,,k,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: finansinė ir draudimo veikla",
,,,,,l,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: nekilnojamojo turto operacijos",
,,,,,b_c_d_e,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: apdirbamoji gamyba, kasyba ir karjerų eksploatavimas bei kita pramonė",
,,,,,imoniu_sk,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius",
,,,,,grid_id_,string,,,,2,open,,"Gardelės identifikavimo kodas",
,,,,,r_s_t_u,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: kitos paslaugos",
,,,,,o_p_q,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: viešasis valdymas ir gynyba, švietimas, žmonių sveikatos priežiūra ir socialinis darbas",
,,,,,shape_length,number,,,,2,open,,"gardelės ilgis",
,,,,,dsk,integer,,,,2,open,,"Darbuotojų skaičius",
,,,,,m_n,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: profesinė, mokslinė ir techninė veikla, administracinė ir aptarnavimo veikla",
,,,,,shape_area,number,,,,2,open,,"gardelės plotas",
,,,,,,,,,,,,,,
,,,,UkioSub5Km2019,,,,ukio_sub_5km_2019,,2,,,Ūkio subjektų geoerdviniai duomenys 2019 m. 5x5km gardelėse.,
,,,,,fid,integer,,,,2,open,,"įdentifikacinis numeris",
,,,,,a,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: žemės ūkis, miškininkystė ir žuvininkystė",
,,,,,g_h_i,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: didmeninė ir mažmeninė prekyba, transportas ir saugojimas, apgyvendinimo ir maitinimo paslaugų veikla",
,,,,,f,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: statyba",
,,,,,j,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: informacija ir ryšiai",
,,,,,pajamos,string,,,,2,open,,"Veikiančių ūkio subjektų pajamos",
,,,,,metai,integer,,,,2,open,,"Laikotarpis, kuriam priklauso statistinė reikšmė",
,,,,,k,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: finansinė ir draudimo veikla",
,,,,,l,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: nekilnojamojo turto operacijos",
,,,,,b_c_d_e,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: apdirbamoji gamyba, kasyba ir karjerų eksploatavimas bei kita pramonė",
,,,,,imoniu_sk,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius",
,,,,,grid_id_,string,,,,2,open,,"Gardelės identifikavimo kodas",
,,,,,r_s_t_u,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: kitos paslaugos",
,,,,,o_p_q,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: viešasis valdymas ir gynyba, švietimas, žmonių sveikatos priežiūra ir socialinis darbas",
,,,,,shape_length,number,,,,2,open,,"gardelės ilgis",
,,,,,dsk,integer,,,,2,open,,"Darbuotojų skaičius",
,,,,,m_n,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: profesinė, mokslinė ir techninė veikla, administracinė ir aptarnavimo veikla",
,,,,,shape_area,number,,,,2,open,,"gardelės plotas",
,,,,,,,,,,,,,,
,,,,UkioSub10Km2019,,,,ukio_sub_10km_2019,,,,,"Ūkio subjektų geoerdviniai duomenys 2019 m. 10x10km gardelėse.",
,,,,,fid,integer,,,,2,open,,"įdentifikacinis numeris",
,,,,,a,integer,,,,2,open,,"Veikiančių ūkio subjektų skaičius, pagal ekonominės veiklos rūšis: žemės ūkis, miškininkystė ir žuvininkystė",
