id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/rc/ar/istorinegyvenamojivietove,,,,,,,,,,,,Adresų registras,
,,istorinegyvenamojivietove,,,,csv,,https://www.registrucentras.lt/aduomenys/?byla=adr_istorines_gyvenamosios_vietoves.csv,,,,,Adresų registro duomenų bazė,
,,,,IstorineGyvenamojiVietove,,,gyv_kodas,,,,,,Adresų registro istorinių gatvių tekstinių duomenų rinkinys  ,Istorinių (panaikintų) gyvenamųjų vietovių tekstinių duomenų rinkinys iš Lietuvos Respublikos adresų registro (Lietuvos Respublikos administracinius vienetus - istorines gyvenamąsias vietoves apibūdinantys duomenys). Duomenų geografinė imtis — visa šalies teritorija.
,,,,,gyv_kodas,integer,,GYV_KODAS,,3,open,,Gyvenamosios vietovės identifikavimo kodas,
,,,,,tipas,string,,TIPAS,,3,open,,"Gyvenamosios vietovės tipas (miestas, miestelis, kaimas, viensėdis ir pan.)",
,,,,,tipo_santrumpa,string,,TIPO_SANTRUMPA,,3,open,,Gyvenamosios vietovės tipo trumpinys,
,,,,,pavadinimas,string,,VARDAS,,3,open,,Gyvenamosios vietovės pavadinimas (vardininko linksnyje),
,,,,,sen_kodas,ref,/datasets/gov/rc/ar/seniunija/Seniunija,SEN_KODAS,,4,open,,"Seniūnijos, kurios teritorijoje yra gyvenamoji vietovė, identifikavimo kodas",
,,,,,sav_kodas,ref,/datasets/gov/rc/ar/savivaldybe/Savivaldybe,SAV_KODAS,,4,open,,"Savivaldybės, kurios teritorijoje yra gyvenamoji vietovė, identifikavimo kodas",
,,,,,gyv_nuo,date,,GYV_NUO,,3,open,,Objekto įregistravimo data,
,,,,,gyv_iki,date,,GYV_IKI,,3,open,,Objekto išregistravimo data,
,,,,,,,,,,,,,,
