id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/lgt/apibendrinti_pzv_gavybos_duomenys,,,,,,,,,,,,Apibendrinti požeminio vandens gavybos duomenys,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,vadovas,,,,,https://atviriduomenys.readthedocs.io/,,
,,,,,,,,,,,,,,
,,,,PozeminioVandensGavybaKiekis,,,id,,,4,open,,Apibendrinti požeminio vandens gavybos duomenys,
,,,,,id,integer,,,,4,open,,Identifikacinis rinkinio numeris,
,,,,,pavadinimas,string,,,,3,open,,Požeminio vandens pavadinimas,
,,,,,savivaldybe,string,,,,2,open,,Savivaldybė,
,,,,,,comment,type,,"create(property: ""savivaldybe"", type: ""ref"", ref: ""/datasets/gov/rc/ar/savivaldybe/Savivaldybe"")",4,open,manifest:1263,,
,,,,,,comment,type,,"update(property: ""savivaldybe.sav_kodas"", type: """")",4,,"spinta:216, manifest:1263",,
,,,,,metai,integer,,,,2,open,,Metai,
,,,,,,comment,type,,"update(type: ""date"", ref: ""Y"")",4,,spinta:213,,
,,,,,isgauta_m3,number,,,,3,open,,Išgautas kiekis kubiniais metrais,
,,,,,,comment,ref,,"update(ref: ""m^3"")",4,,spinta:292,,
,,,,,isgauta_m3_per_para,number,,,,3,open,,Išgauta kubinių metrų per parą,
