id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/nma/zvejyba_covid,,,,,,,,,,,,,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,ZvejybaCovid,,,,,,3,,,Lietuvos žuvininkystės sektoriaus 2014–2020 metų veiksmų priemonės „Laikinas žvejybos veiklos nutraukimas“ veiklos sritis „Laikinas žvejybos veiklos nutraukimas dėl COVID-19“ ,
,,,,,pavadinimas,string,,,,3,open,,Priemonės pavadinimas,
,,,,,tipas,string,,,,4,open,,Pareiškėjo tipas,
,,,,,,enum,,,"""Fizinis""",,,,Fizinis asmuo,
,,,,,,,,,"""Juridinis""",,,,Juridinis asmuo,
,,,,,lytis,string,,,,4,open,,Pareiškėjo lytis,
,,,,,,enum,,,"""V""",,,,Vyras,
,,,,,,,,,"""M""",,,,Moteris,
,,,,,rajonas,string,,,,3,open,,Rajonas,
,,,,,suma_eur,number,,,,2,open,,Išmokėta suma,
,,,,,,comment,type,,"update(type: ""money, ref: ""EUR"")""",4,open,spinta:40,,
